date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,26,14,0.0,14.0,6,97,06:35 PM,04:25 AM,05:14 AM,07:13 PM,-2,21,20,21,23,0,24,0.0,1007,26,10,193,16,Lesotho
2018-01-02,25,10,0.0,14.0,5,100,07:39 PM,05:28 AM,05:15 AM,07:13 PM,-2,18,18,18,13,0,27,0.0,1014,25,10,205,9,Lesotho
2018-01-03,26,10,0.0,14.0,5,89,08:35 PM,06:33 AM,05:16 AM,07:14 PM,3,20,19,20,7,2,36,0.0,1019,26,10,207,5,Lesotho
2018-01-04,28,13,0.0,14.0,6,81,09:27 PM,07:41 AM,05:16 AM,07:14 PM,6,21,21,21,11,4,40,0.0,1019,28,10,177,8,Lesotho
2018-01-05,30,15,0.0,14.0,6,74,10:12 PM,08:47 AM,05:17 AM,07:14 PM,2,22,22,23,12,8,27,0.0,1013,30,10,182,9,Lesotho
2018-01-06,32,15,0.0,14.0,6,67,10:52 PM,09:51 AM,05:18 AM,07:14 PM,-2,23,23,24,19,1,20,0.0,1009,32,10,139,14,Lesotho
2018-01-07,33,14,0.0,14.0,6,59,11:30 PM,10:52 AM,05:19 AM,07:14 PM,-5,24,24,25,19,3,15,0.0,1007,33,10,211,14,Lesotho
2018-01-08,28,15,0.0,14.0,6,52,No moonrise,11:50 AM,05:19 AM,07:14 PM,1,21,21,21,17,20,29,0.1,1010,28,10,212,13,Lesotho
2018-01-09,27,12,0.0,13.9,5,45,12:06 AM,12:46 PM,05:20 AM,07:14 PM,3,20,20,20,14,1,37,0.0,1014,27,10,199,10,Lesotho
2018-01-10,24,11,0.0,13.9,5,38,12:41 AM,01:40 PM,05:21 AM,07:14 PM,8,19,19,19,10,11,49,0.0,1019,24,10,201,7,Lesotho
2018-01-11,25,13,0.0,13.9,5,30,01:16 AM,02:34 PM,05:22 AM,07:14 PM,10,20,20,20,13,18,56,3.2,1019,25,10,133,9,Lesotho
2018-01-12,29,14,0.0,13.9,6,23,01:53 AM,03:27 PM,05:23 AM,07:14 PM,10,23,23,23,11,7,50,0.1,1016,29,10,132,8,Lesotho
2018-01-13,31,16,0.0,13.9,6,16,02:32 AM,04:19 PM,05:24 AM,07:14 PM,4,24,24,25,12,12,32,0.0,1014,31,10,150,7,Lesotho
2018-01-14,31,16,0.0,13.9,6,9,03:14 AM,05:10 PM,05:24 AM,07:14 PM,4,24,24,25,12,2,27,0.0,1011,31,10,143,7,Lesotho
2018-01-15,31,17,0.0,13.9,6,1,03:59 AM,05:59 PM,05:25 AM,07:14 PM,7,24,24,24,13,10,37,0.1,1013,31,10,157,9,Lesotho
2018-01-16,29,14,0.0,13.9,6,0,04:47 AM,06:46 PM,05:26 AM,07:14 PM,11,22,22,22,16,7,51,6.1,1017,29,10,148,11,Lesotho
2018-01-17,29,17,0.0,13.3,6,0,05:37 AM,07:30 PM,05:27 AM,07:13 PM,9,22,22,22,11,23,47,0.0,1017,29,10,176,8,Lesotho
2018-01-18,30,15,0.0,13.9,6,6,06:29 AM,08:11 PM,05:28 AM,07:13 PM,7,22,22,22,15,4,42,0.9,1016,30,10,154,10,Lesotho
2018-01-19,29,14,0.0,13.8,6,13,07:23 AM,08:50 PM,05:29 AM,07:13 PM,5,22,21,22,15,11,40,0.3,1015,29,10,193,11,Lesotho
2018-01-20,27,16,0.0,13.8,6,20,08:16 AM,09:27 PM,05:30 AM,07:13 PM,8,21,21,21,12,9,45,0.1,1013,27,10,150,8,Lesotho
2018-01-21,28,15,0.0,13.8,6,28,09:11 AM,10:02 PM,05:30 AM,07:12 PM,7,22,22,22,11,7,40,0.0,1014,28,10,150,8,Lesotho
2018-01-22,24,15,0.0,13.8,5,35,10:06 AM,10:37 PM,05:31 AM,07:12 PM,11,19,20,19,15,21,59,2.9,1014,24,10,155,11,Lesotho
2018-01-23,24,13,0.0,13.8,5,42,11:03 AM,11:13 PM,05:32 AM,07:12 PM,9,19,19,19,17,23,55,0.4,1011,24,10,164,13,Lesotho
2018-01-24,26,14,0.0,13.8,5,49,12:00 PM,11:51 PM,05:33 AM,07:11 PM,6,20,20,20,16,13,43,0.5,1011,26,10,181,11,Lesotho
2018-01-25,26,12,0.0,13.8,5,57,01:01 PM,No moonset,05:34 AM,07:11 PM,4,20,20,20,13,3,37,0.0,1014,26,10,157,9,Lesotho
2018-01-26,26,14,0.0,13.8,6,64,02:03 PM,12:31 AM,05:35 AM,07:10 PM,8,21,21,21,16,12,49,8.6,1015,26,10,167,11,Lesotho
2018-01-27,24,13,0.0,13.7,5,71,03:08 PM,01:17 AM,05:36 AM,07:10 PM,11,19,19,19,12,19,65,2.3,1015,24,10,174,9,Lesotho
2018-01-28,24,12,0.0,13.7,5,78,04:13 PM,02:08 AM,05:36 AM,07:10 PM,9,19,19,19,10,11,57,0.6,1015,24,10,141,6,Lesotho
2018-01-29,23,12,0.0,13.7,5,86,05:17 PM,03:06 AM,05:37 AM,07:09 PM,9,19,19,19,10,19,58,0.3,1016,23,10,196,7,Lesotho
2018-01-30,26,13,0.0,13.7,5,93,06:16 PM,04:09 AM,05:38 AM,07:08 PM,10,20,20,20,15,18,56,7.6,1012,26,10,138,10,Lesotho
2018-01-31,24,13,0.0,13.7,5,97,07:11 PM,05:16 AM,05:39 AM,07:08 PM,10,19,20,19,11,11,59,2.5,1011,24,10,167,7,Lesotho
2018-02-01,26,14,0.0,13.7,5,88,08:00 PM,06:23 AM,05:40 AM,07:07 PM,10,19,20,19,15,11,57,3.4,1011,26,10,180,11,Lesotho
2018-02-02,28,15,0.0,13.7,6,81,08:44 PM,07:30 AM,05:41 AM,07:07 PM,9,22,22,22,17,9,44,0.0,1011,28,10,179,12,Lesotho
2018-02-03,27,14,0.0,13.6,6,73,09:25 PM,08:34 AM,05:42 AM,07:06 PM,9,21,21,21,13,6,46,0.0,1015,27,10,133,9,Lesotho
2018-02-04,27,14,0.0,13.6,6,66,10:02 PM,09:36 AM,05:42 AM,07:05 PM,9,21,21,21,14,7,51,0.5,1013,27,10,154,10,Lesotho
2018-02-05,29,14,0.0,13.6,6,58,10:39 PM,10:34 AM,05:43 AM,07:05 PM,8,22,22,22,13,3,43,0.1,1013,29,10,146,8,Lesotho
2018-02-06,29,16,0.0,13.6,6,51,11:15 PM,11:31 AM,05:44 AM,07:04 PM,10,23,23,23,11,11,49,4.6,1013,29,10,191,7,Lesotho
2018-02-07,23,15,0.0,13.6,5,43,11:52 PM,12:26 PM,05:45 AM,07:03 PM,12,18,19,18,12,42,68,2.9,1016,23,10,122,8,Lesotho
2018-02-08,24,13,0.0,13.6,5,36,No moonrise,01:20 PM,05:46 AM,07:03 PM,11,19,19,19,10,22,63,0.2,1015,24,10,144,7,Lesotho
2018-02-09,26,14,0.0,13.6,6,28,12:31 AM,02:13 PM,05:47 AM,07:02 PM,11,21,21,21,7,13,57,0.0,1012,26,10,149,5,Lesotho
2018-02-10,28,16,0.0,13.5,6,20,01:12 AM,03:05 PM,05:47 AM,07:01 PM,12,22,22,22,9,12,55,1.3,1011,28,10,161,6,Lesotho
2018-02-11,25,17,0.0,13.5,5,13,01:56 AM,03:54 PM,05:48 AM,07:00 PM,12,20,21,20,8,31,63,3.5,1017,25,10,182,6,Lesotho
2018-02-12,24,15,0.0,13.1,5,5,02:42 AM,04:42 PM,05:49 AM,06:59 PM,13,19,19,19,10,31,68,3.3,1020,24,10,222,7,Lesotho
2018-02-13,24,14,0.0,13.1,5,0,03:32 AM,05:27 PM,05:50 AM,06:59 PM,12,19,20,19,10,31,66,2.7,1021,24,10,164,6,Lesotho
2018-02-14,22,15,0.0,13.1,5,0,04:23 AM,06:09 PM,05:51 AM,06:58 PM,12,18,19,18,13,30,68,1.3,1018,22,10,140,9,Lesotho
2018-02-15,21,14,0.0,13.1,5,0,05:17 AM,06:49 PM,05:51 AM,06:57 PM,11,17,17,17,10,30,70,1.3,1013,21,10,147,7,Lesotho
2018-02-16,24,11,0.0,13.0,5,2,06:11 AM,07:27 PM,05:52 AM,06:56 PM,10,18,18,18,11,11,61,0.0,1013,24,10,193,7,Lesotho
2018-02-17,26,12,0.0,13.0,5,10,07:06 AM,08:03 PM,05:53 AM,06:55 PM,8,20,20,20,7,5,50,0.0,1014,26,10,170,5,Lesotho
2018-02-18,26,15,0.0,13.0,6,17,08:02 AM,08:39 PM,05:54 AM,06:54 PM,10,21,21,21,11,11,53,0.0,1013,26,10,164,7,Lesotho
2018-02-19,26,15,0.0,13.0,6,25,08:58 AM,09:15 PM,05:54 AM,06:53 PM,10,21,21,21,11,14,53,0.0,1014,26,10,170,7,Lesotho
2018-02-20,27,13,0.0,13.0,6,32,09:56 AM,09:52 PM,05:55 AM,06:52 PM,8,21,21,21,12,4,48,0.0,1015,27,10,155,7,Lesotho
2018-02-21,28,14,0.0,13.0,6,40,10:54 AM,10:30 PM,05:56 AM,06:51 PM,8,21,21,21,13,5,45,0.0,1015,28,10,161,9,Lesotho
2018-02-22,25,13,0.0,12.9,5,47,11:55 AM,11:13 PM,05:57 AM,06:50 PM,11,19,19,19,12,12,62,0.0,1015,25,10,155,8,Lesotho
2018-02-23,24,12,0.0,12.9,5,55,12:57 PM,No moonset,05:57 AM,06:49 PM,10,18,19,18,11,17,64,0.0,1011,24,10,214,7,Lesotho
2018-02-24,22,12,0.0,12.9,5,62,02:00 PM,12:01 AM,05:58 AM,06:48 PM,12,17,18,17,13,31,72,1.5,1009,22,10,189,9,Lesotho
2018-02-25,22,10,0.0,12.9,5,70,03:02 PM,12:53 AM,05:59 AM,06:47 PM,5,16,16,16,10,4,56,0.0,1014,22,10,195,7,Lesotho
2018-02-26,24,7,0.0,12.9,5,77,04:01 PM,01:52 AM,05:59 AM,06:46 PM,5,16,16,16,12,6,53,0.0,1017,24,10,212,8,Lesotho
2018-02-27,25,10,0.0,12.5,5,85,04:57 PM,02:55 AM,06:00 AM,06:45 PM,8,19,19,19,10,8,56,0.0,1016,25,10,170,7,Lesotho
2018-02-28,26,11,0.0,11.6,5,93,05:48 PM,04:01 AM,06:01 AM,06:44 PM,8,20,20,20,10,4,50,0.0,1015,26,10,193,7,Lesotho
2018-03-01,26,13,0.0,11.6,5,96,06:33 PM,05:07 AM,06:01 AM,06:43 PM,7,20,20,20,8,5,43,0.1,1014,26,10,152,6,Lesotho
2018-03-02,26,15,0.0,11.6,6,100,07:16 PM,06:12 AM,06:02 AM,06:42 PM,5,20,20,20,12,13,39,0.0,1014,26,10,173,9,Lesotho
2018-03-03,26,14,0.0,11.6,5,89,07:55 PM,07:16 AM,06:03 AM,06:41 PM,5,20,20,20,15,5,38,0.0,1013,26,10,182,11,Lesotho
2018-03-04,26,13,0.0,11.6,5,82,08:33 PM,08:17 AM,06:03 AM,06:40 PM,9,20,20,20,13,11,53,0.0,1013,26,10,147,9,Lesotho
2018-03-05,29,14,0.0,11.6,6,74,09:10 PM,09:16 AM,06:04 AM,06:38 PM,7,21,21,21,15,3,44,0.0,1013,29,10,183,10,Lesotho
2018-03-06,28,15,0.0,11.6,6,67,09:48 PM,10:14 AM,06:05 AM,06:37 PM,8,22,21,22,13,4,43,0.0,1014,28,10,171,9,Lesotho
2018-03-07,21,15,0.0,10.2,5,60,10:26 PM,11:10 AM,06:05 AM,06:36 PM,12,18,18,18,12,47,71,4.1,1015,21,9,104,8,Lesotho
2018-03-08,20,14,0.0,11.6,5,53,11:07 PM,12:04 PM,06:06 AM,06:35 PM,12,17,17,17,11,29,75,5.6,1011,20,10,123,7,Lesotho
2018-03-09,21,10,0.0,11.6,4,45,11:50 PM,12:57 PM,06:07 AM,06:34 PM,4,16,16,16,10,4,51,0.0,1013,21,10,209,7,Lesotho
2018-03-10,24,9,0.0,11.6,5,38,No moonrise,01:48 PM,06:07 AM,06:33 PM,3,16,17,16,13,11,41,0.0,1013,24,10,161,8,Lesotho
2018-03-11,21,12,0.0,10.2,5,31,12:36 AM,02:36 PM,06:08 AM,06:32 PM,10,15,15,15,17,27,70,5.6,1015,21,10,96,10,Lesotho
2018-03-12,24,10,0.0,11.6,5,24,01:25 AM,03:23 PM,06:08 AM,06:30 PM,6,18,18,18,10,3,51,0.0,1020,24,10,128,6,Lesotho
2018-03-13,24,11,0.0,11.6,5,16,02:15 AM,04:06 PM,06:09 AM,06:29 PM,7,18,19,18,12,8,50,0.0,1020,24,10,104,8,Lesotho
2018-03-14,25,13,0.0,11.6,5,9,03:08 AM,04:46 PM,06:10 AM,06:28 PM,11,19,19,19,17,10,62,0.3,1016,25,10,181,12,Lesotho
2018-03-15,24,12,0.0,11.6,5,2,04:02 AM,05:25 PM,06:10 AM,06:27 PM,10,19,19,19,17,16,59,1.4,1013,24,10,175,11,Lesotho
2018-03-16,23,13,0.0,10.2,5,0,04:57 AM,06:02 PM,06:11 AM,06:26 PM,10,17,18,17,13,32,64,0.0,1015,23,10,132,9,Lesotho
2018-03-17,20,10,0.0,11.6,4,0,05:53 AM,06:38 PM,06:11 AM,06:25 PM,9,15,15,15,13,34,69,0.0,1019,20,10,141,9,Lesotho
2018-03-18,19,12,0.0,11.6,4,5,06:50 AM,07:15 PM,06:12 AM,06:23 PM,10,15,15,15,15,27,74,0.7,1015,19,10,104,10,Lesotho
2018-03-19,23,11,0.0,11.6,5,13,07:49 AM,07:52 PM,06:13 AM,06:22 PM,11,16,17,16,13,19,71,0.0,1013,23,10,144,8,Lesotho
2018-03-20,23,11,0.0,11.6,5,20,08:48 AM,08:30 PM,06:13 AM,06:21 PM,9,18,18,18,14,12,62,4.1,1014,23,10,166,10,Lesotho
2018-03-21,21,12,0.0,10.2,5,27,09:49 AM,09:12 PM,06:14 AM,06:20 PM,10,17,17,17,10,38,68,2.9,1017,21,9,162,6,Lesotho
2018-03-22,14,11,0.0,6.0,3,34,10:51 AM,09:58 PM,06:14 AM,06:19 PM,10,13,13,13,6,68,86,14.5,1021,14,9,149,5,Lesotho
2018-03-23,16,12,0.0,10.2,3,42,11:54 AM,10:49 PM,06:15 AM,06:18 PM,10,14,14,14,6,59,81,4.3,1016,16,10,178,5,Lesotho
2018-03-24,20,8,0.0,11.6,4,49,12:55 PM,11:45 PM,06:16 AM,06:16 PM,8,15,15,15,11,17,65,0.0,1013,20,10,143,7,Lesotho
2018-03-25,21,10,0.0,11.6,5,56,01:54 PM,No moonset,06:16 AM,06:15 PM,8,16,16,16,22,15,61,5.6,1013,21,10,176,14,Lesotho
2018-03-26,21,7,0.0,11.6,4,63,02:49 PM,12:44 AM,06:17 AM,06:14 PM,1,15,16,15,8,0,40,0.0,1019,21,10,183,5,Lesotho
2018-03-27,22,8,0.0,11.6,4,71,03:40 PM,01:47 AM,06:17 AM,06:13 PM,2,16,17,16,8,0,39,0.0,1021,22,10,172,5,Lesotho
2018-03-28,24,9,0.0,11.6,5,78,04:26 PM,02:51 AM,06:18 AM,06:12 PM,4,18,18,18,7,0,43,0.0,1018,24,10,153,4,Lesotho
2018-03-29,23,10,0.0,11.6,5,85,05:09 PM,03:56 AM,06:18 AM,06:11 PM,5,17,18,17,14,5,47,0.0,1016,23,10,164,9,Lesotho
